ID,Title,Short Description,Contributors,Mentors,Organization,GSoC Archive Link,Reflection Link,Challenges,Learn,Details,Pull Links,Issue Links,Tech Stack,Topics
11, Gravitational Lens Finding for Dark Matter Substructure Pipeline ,Machine learning techniques are regarded to have the potential to help researchers better comprehend dark matter. Convolutional Neural Networks..., Mriganka Nath ," Mentor  SR, Michael Toomey, Anna Parul, Jeremy Quijano ", Organization  Machine Learning for Science (ML4SCI) ,/archive/2022/projects/Bc0tUyhL,https://github.com/ML4SCI/DeepLense/tree/main/DeepLense_Gravitational_Lensing_Mriganka_Nath,No,No,"Machine learning techniques are regarded to have the potential to help researchers better comprehend dark matter. Convolutional Neural Networks (CNNs) have previously been used to successfully distinguish between distinct types of substructures such as no substructure, vortex substructure, and spherical substructure. In this task, we'll classify images based on whether or not they have a strong lensing effect. Strong Gravitational Lensing allows us to analyse the substructure of dark matter, allowing us to gain a deeper understanding of its underlying nature. The observed strong lens images may be utilized in the Deeplense pipeline for dark matter substructure classification, anomaly detection, and interpretation. Images may be processed using a variety of algorithms. We'll try out several types of models, fine-tune them to obtain good outcomes, and compare them. Because a single model may not be sufficient, we can combine the findings of several models using ensembling to obtain a more robust and better outcome. We'll document and record every outcome as we experiment with our models. We will also provide starter notebooks  describing how to train and test the models so that it will be easy for anyone to understand our work.",[],[],"python, pytorch","machine learning, computer vision, deep learning, image processing"
12, Anomaly detection and recovery with a Deep-learning-based approach ,"I suggest a deep-learning-based approach to analyze the physical characteristics of GNSS signals and detect abnormal sequences, and consequently...", SeonwooKim ," Mentor  GNSS-SDR, Javier Arribas ", Organization  GNSS-SDR ,/archive/2022/projects/2HsxUfPb,https://github.com/seki5405/gnss_spoof_detector,No,Yes,"I suggest a deep-learning-based approach to analyze the physical characteristics of GNSS signals and detect abnormal sequences, and consequently recover the tampered location data by using multiple received signals with various features extracted from them. Especially raw data received has more information(such as Pseudorange, Carrier Phase, Doppler, Clock Bias Drift, Carrier-to-Noise Density) than the processed ones, so it shows a possibility to detect abnormal uncorrelated sequences. This can help many systems that require real-time based GPS utilization such as autopilot cars, UAVs, and military equipment.",[],[],"python, c++, deep learning, security, GNSS SDR, Anomaly Detection","security, deep learning, GNSS SDR"
13," More choices, More happiness: Alternative Routes for Organic Maps ","Organic Maps provide the users with powerful searching and navigation services in many countries. However, the built-in planner can only provide one...", Runqiu (Thomas) Guo , Mentor  Viktor , Organization  Organic Maps ,/archive/2022/projects/tHfojxNA,https://github.com/melonSkin76/rq_organicmapsTest/wiki/GSoC-2022-Project-Report,No,No,"Organic Maps provide the users with powerful searching and navigation services in many countries. However, the built-in planner can only provide one route variant for each route search of a specific way of travel. The routes provided might be optimal in many conditions, but it cannot satisfy the requirements from all users. So, we need to modify the current planner (with built-in A* algorithm) such that multiple route variants with different features can be generated when the user wants to find a route.

Deliverables: 
1. A full stack implementation of the modified route planner that can generate different routes based multiple different criteria. 
2. A detailed documentation of the features and their mechanisms",[],"['https://github.com/organicmaps/organicmaps/issues/593', 'https://github.com/organicmaps/organicmaps/issues/1236']","android, java, c++, qt","algorithms, end user applications"
14, 21.1 A Collective Cognition Model for AI Ethics ,"A Collective Cognition Model to serve as automated guidelines to open source communities. The model will project the activities, interrelationships,...", Himanshu Chougule ," Mentor  Jesse Parent, Bradly Alicea ", Organization  INCF ,/archive/2022/projects/LKL5raf2,https://gist.github.com/himanshu-02/4c7a50718e27abcecade2766fc1bf218,No,Yes,"A Collective Cognition Model to serve as automated guidelines to open source communities. The model will project the activities, interrelationships, to keep the community self-sustaining and to help people stay in the community and become contributors. This will be validated by the data generate by an Agent based model and will serve as a verification component.",[],[],"python, java, scala","reinforcement learning, AI Ethics, Interdisciplinary Research, Cybernetic system"
15, Integration of anti-spoofing techniques in GNSS-SDR ,"In this GSoC I aim to potentially implement in the GNSS-SDR receiver the following antispoofing techniques: Auxiliary Peak Tracking (APT), Output...", Eric Sánchez ," Mentor  GNSS-SDR, Carles Fernandez ", Organization  GNSS-SDR ,/archive/2022/projects/cMCC6Tpw,https://gist.github.com/ericsg1999/496811fa9d70f3eb5ef04d1975c5d743,No,Yes,"In this GSoC I aim to potentially implement in the GNSS-SDR receiver the following antispoofing techniques: Auxiliary Peak Tracking (APT), Output correlator analysis, Satellite orbital position validation and Clock consistency checks as well as the following anti-spoofing mitigation technique: Legitimate Signal Retriever. In the pdf attached there is a brief description of each technique. 
The plan is to examine the code of GSoC 2021 and try to implement it in the software as well as creating the new required modules.",[],[],c++,Satellite-based communications
16, Audio Worklet for Emscripten ,"Many developers are using Emscripten to port the existing C/C++ audio code to Web Assembly, but Emscripten is still using deprecated...", Divyam Ahuja ," Mentor  hoch, mjwilson ", Organization  Chromium ,/archive/2022/projects/8aeeJZr6,https://github.com/DivyamAhuja/gsoc-chromium-freequeue,No,No,"Many developers are using Emscripten to port the existing C/C++ audio code to Web Assembly, but Emscripten is still using deprecated ScriptProcessorNode for audio functionality. By Design, ScriptProcessor is insecure and also harmful to user experience as it works on main thread causing security issues,and glitching audio and UI. The AudioWorklet is a fast and secure replacement of the ScriptProcessor. The aim of this project is to implement modern AudioWorklet based alternatives and update the emscripten codebase to use secure and better AudioWorklet. AudioWorklet along with Web Workers, SharedArrayBuffer and Atomics can be used to implement a general purpose solution for porting existing C/C++ projects with emscripten.",[],[],"javascript, html, webassembly, Emscripten, Web Audio API","web, audio, webassembly"
17, User management and notifications ,"Implement user registration: When the user enters email address, regular expression matching will be conducted at the front end to check if it is in...", Luofei ," Mentor  Romain, emileaben, Malte Tashiro ", Organization  Internet Health Report ,/archive/2022/projects/RljA8uzV,https://github.com/EndlessSummer0107/ihr-website.git,No,No,"Implement user registration:
When the user enters email address, regular expression matching will be conducted at the front end to check if it is in the proper format. After entering the password twice, user can submit the form, and MD5 algorithm will be used to encrypt the password at the front end. In addition, once the verification code submitted by the user is verified, the user email address and password will be written into the database.

Implement user login:
When user email address and password are filled in at the front end, the back end will verify the user's password. After passing the verification, a unique token secret key will be returned to the front end which is generated according to user's account and password by using Django tokens.

Implement notification settings:
The user selects the sources and sets the level of verbosities at the front end. After submitting the form, the user account will be firstly recognized according to the tokens, and then the selected sources and verbosities will be stored in the database. User can also search for sources at the front end. Approximate string matching will be used to look for values in a reference database. The first 30 matching results will be returned for users to choose.

Implement sending email:
I plan to use the email service supported by Django framework. I will configure SMTP related settings and develop an API, which can be called where the alert emails need to be sent.",['https://github.com/InternetHealthReport/ihr-website/pull/175'],[],"python, javascript, django, vue.js",web
18, Eye-Tracker using Deep Learning with Python + TensorFlow/Pytorch ,"Eye tracking can be used for a range of purposes, from improving accessibility for people with disabilities to improving driver safety. However,...", Somnath Sharma ," Mentor  Suresh, Dinesh ", Organization  INCF ,/archive/2022/projects/jZT1muPe,https://s0mnaths.github.io/Gaze-Tracker/,No,Yes,"Eye tracking can be used for a range of purposes, from improving accessibility for people with disabilities to improving driver safety. However, modern state-of-the-art mobile eye trackers are costly, often bulky devices that require careful setup and calibration, and they tend to be expensive. In this project, therefore, we aim to develop an affordable and open-source alternative to these Eye Trackers.

In this project, we improve upon the basic implementation of Google's paper which is able to obtain very good performance using simple CNNs. We implement the architecture and train the model, run SVR experiments, and compare the results with Google's own implementation.  We also need to connect them with an android application for data collection, as well as for evaluating the model’s performance in real time.",[],[],"python, android, tensorflow, pytorch","machine learning, computer vision, deep learning"
19, Quality Assurance for Biological and Medical Applications inside Debian ,"The Debian Med project has packaged several applications in life sciences and medicine. Among the existing packages, many lack autopkgtest. Through...", Mohammed Bilal , Mentor  Nilesh Patra , Organization  Debian ,/archive/2022/projects/xGrSQrYu,https://salsa.debian.org/-/snippets/609,No,No,"The Debian Med project has packaged several applications in life sciences and medicine. Among the existing packages, many lack autopkgtest. Through this project I intend to package new potential softwares for the med team, add autopkgtests in packages with missing tests and also help fix test failures for already existing packages. This would ensure the packages are well tested and hence stable",[],[],"git, bash, irc, Debian Packaging","science and medicine, packaging"
20, Quick navigation in DocC Render ,"DocC Render is an open-sourced project that let us visualize `.doccarchive` on the web, it renders the compiled Swift codebase documentation in a...", Sofía Rodríguez ," Mentor  Marina Aísa, Franklin Schrans, Beatriz ", Organization  Swift ,/archive/2022/projects/R3HQnNal,https://forums.swift.org/t/pitch-quick-navigation-in-docc-render/59550,No,No,"DocC Render is an open-sourced project that let us visualize `.doccarchive` on the web, it renders the compiled Swift codebase documentation in a clean and standardized UI making it easier for developers to learn, review and share packages and frameworks documentation. 

The codebase documentation can get very large easily and right now the DocC rendered website only provides certain filter and search capabilities through the sidebar, but besides that, there's no convenient way to explore the docs. 

In this project we are going to design and implement the “Quick Navigation” feature into swift-docc-render, allowing users to navigate and discover documentation symbols and files easily.

Similar to ""Open Quickly"" in Xcode and other web-based documentation sites we will let the user type and find what they are looking for through some cool capabilities including fuzzy search, quick access to recent symbols, and keyboard navigation.",['https://github.com/apple/swift-docc-render/pull/396'],['https://github.com/apple/swift-docc-render/issues'],"javascript, css, vue, SCSS","web, documentation, Swift, docc-render"
21, Proposal for writing test suite for Neutralinojs CLI ,"Neutralinojs's command-line interface is powered by a simple yet robust CLI tool ""neu"". neu helps to easily create, run, and build Neutralinojs...", Sainath Rao ," Mentor  Shalitha Suranga, Athif Shaffy ", Organization  Neutralinojs ,/archive/2022/projects/JHVbqMKj,https://github.com/neutralinojs/neutralinojs-cli/pull/166,No,Yes,"Neutralinojs's command-line interface is powered by a simple yet robust CLI tool ""neu"". neu helps to easily create, run, and build Neutralinojs applications. Currently, there is no test suite to check if any changes pushed, break the functionality of the code. This project aims at implementing a strong mocha-assert framework based test suite to run tests on any commits / pull requests on the repository. After this project, any changes to the source code will be run against these tests (GitHub Actions Workflow) to keep the code intact.","['/login?return_to=https%3A%2F%2Fgithub.com%2Fneutralinojs%2Fneutralinojs-cli%2Fpull%2F166', '/login?return_to=https%3A%2F%2Fgithub.com%2Fneutralinojs%2Fneutralinojs-cli%2Fpull%2F166', 'https://github.com/neutralinojs/neutralinojs-cli/pull/166#event-6963573311', '/login?return_to=https%3A%2F%2Fgithub.com%2Fneutralinojs%2Fneutralinojs-cli%2Fpull%2F166', 'https://github.com/neutralinojs/neutralinojs-cli/pull/166']",[],"javascript, Mocha.js","Unit/Integration Testing, CLI Tool"
22," CodeLabz - FrontEnd, News Feed, Profiles, Organization, Profiles ","It includes the front end enhancements of an existing project as well as improvements and new features that can be introduced such as a profile menu,...", Thanda Mahender Goud ," Mentor  Charith, TSR, Dinith Minura, Kaplana, Hirantha ", Organization  SCoRe Lab ,/archive/2022/projects/zwGmPCW4,https://github.com/scorelab/GSoC/blob/master/GSoC-2022/03-Thanda-Mahender-Goud-CodeLabz-Front-End-News-Feed-Profiles-Organization-Profiles.md,No,Yes,"It includes the front end enhancements of an existing project as well as improvements and new features that can be introduced such as a profile menu, newfeed, and so on. The website now contains static content; I intend to make it as responsive as feasible by implementing new custom components and menus.","['https://github.com/scorelab/Codelabz/pull/245', 'https://github.com/scorelab/Codelabz/pull/261', 'https://github.com/scorelab/Codelabz/pull/304', 'https://github.com/scorelab/Codelabz/pull/305', 'https://github.com/scorelab/Codelabz/pull/322', 'https://github.com/scorelab/Codelabz/pull/337', 'https://github.com/scorelab/Codelabz/pull/338', 'https://github.com/scorelab/Codelabz/pull/348', 'https://github.com/scorelab/Codelabz/pull/349', 'https://github.com/scorelab/Codelabz/pull/363', 'https://github.com/scorelab/Codelabz/pull/375', 'https://github.com/scorelab/Codelabz/pull/376', 'https://github.com/scorelab/Codelabz/pull/395', 'https://github.com/scorelab/Codelabz/pull/396', 'https://github.com/scorelab/Codelabz/pull/398', 'https://github.com/scorelab/Codelabz/pull/402', 'https://github.com/scorelab/Codelabz/pull/444']","['https://github.com/scorelab/Codelabz/issues/242', 'https://github.com/scorelab/Codelabz/issues/247', 'https://github.com/scorelab/Codelabz/issues/252', 'https://github.com/scorelab/Codelabz/issues/234', 'https://github.com/scorelab/Codelabz/issues/234', 'https://github.com/scorelab/Codelabz/issues/234', 'https://github.com/scorelab/Codelabz/issues/234', 'https://github.com/scorelab/Codelabz/issues/234', 'https://github.com/scorelab/Codelabz/issues/234', 'https://github.com/scorelab/Codelabz/issues/234', 'https://github.com/scorelab/Codelabz/issues/351', 'https://github.com/scorelab/Codelabz/issues/372', 'https://github.com/scorelab/Codelabz/issues/373', 'https://github.com/scorelab/Codelabz/issues/388', 'https://github.com/scorelab/Codelabz/issues/400', 'https://github.com/scorelab/Codelabz/issues/413']","javascript, Firebase, react js",web
